shipment_id,origin_country,destination_country,transport_mode,rfq_sent_at,quote_received_at,customs_status,supplier_id,supplier_compliance_flag,fulfilment_status,quote_response_hours
SHP-000038,Westhaven,Highmere,rail,2026-05-06 07:44:42,2026-05-06 16:52:30,cleared,SUP-0318,True,late,9.13
SHP-000039,Westhaven,Rivermark,air,2025-11-19 18:47:54,2025-11-21 18:13:42,cleared,SUP-0092,True,on_time,47.43
SHP-000040,Lowvale,Rivermark,sea,2026-04-14 20:48:38,2026-04-15 17:40:50,cleared,SUP-0056,True,on_time,20.87
SHP-000041,Rivermark,Westhaven,sea,2026-04-23 23:54:06,2026-04-24 19:40:54,pending,SUP-0117,True,on_time,19.78
SHP-000042,Lowvale,Rivermark,sea,2025-12-19 12:34:41,2025-12-20 09:27:29,cleared,SUP-0205,True,late,20.88
SHP-000043,Highmere,Eastoria,air,2026-04-03 02:04:38,2026-04-04 04:56:14,delayed,SUP-0136,True,on_time,26.86
SHP-000044,Highmere,Centralia,rail,2026-02-08 14:02:16,2026-02-08 22:14:52,cleared,SUP-0296,True,on_time,8.21
SHP-000045,Lowvale,Centralia,road,2026-01-23 14:11:39,2026-01-24 12:29:03,delayed,SUP-0344,True,on_time,22.29
SHP-000046,Highmere,Northland,road,2026-01-11 11:29:10,2026-01-12 03:44:46,cleared,SUP-0159,True,on_time,16.26
SHP-000047,Centralia,Lowvale,rail,2025-12-18 17:05:56,2025-12-18 22:30:32,cleared,SUP-0090,True,on_time,5.41
SHP-000048,Northland,Rivermark,road,2025-12-30 07:56:48,2025-12-30 13:46:36,cleared,SUP-0239,True,on_time,5.83
SHP-000049,Rivermark,Highmere,air,2026-04-15 18:39:08,2026-04-16 17:43:56,cleared,SUP-0264,True,on_time,23.08
SHP-000050,Southport,Lowvale,sea,2026-01-22 21:09:22,2026-01-23 15:26:10,pending,SUP-0076,True,on_time,18.28
SHP-000051,Rivermark,Westhaven,sea,2025-12-08 08:50:46,2025-12-09 03:31:34,cleared,SUP-0100,True,on_time,18.68
SHP-000052,Lowvale,Northland,rail,2025-12-06 12:44:20,2025-12-07 04:49:44,pending,SUP-0055,True,on_time,16.09
SHP-000053,Rivermark,Lowvale,air,2026-01-31 07:06:05,2026-01-31 13:49:53,cleared,SUP-0238,True,failed,6.73
SHP-000054,Highmere,Centralia,road,2025-12-07 07:14:34,2025-12-11 02:02:34,delayed,SUP-0219,True,on_time,90.8
SHP-000055,Eastoria,Westhaven,road,2026-01-27 05:28:37,2026-01-27 17:23:49,pending,SUP-0142,True,on_time,11.92
SHP-000056,Westhaven,Eastoria,sea,2026-05-02 02:07:19,2026-05-02 04:54:07,cleared,SUP-0277,True,on_time,2.78
SHP-000057,Lowvale,Northland,sea,2026-01-24 07:27:42,2026-01-25 00:42:42,cleared,SUP-0239,True,on_time,17.25
SHP-000058,Lowvale,Highmere,air,2026-03-15 18:04:45,2026-03-16 12:47:21,pending,SUP-0295,True,on_time,18.71
SHP-000059,Highmere,Rivermark,sea,2026-01-08 21:16:06,2026-01-09 07:14:18,cleared,SUP-0280,True,late,9.97
SHP-000060,Rivermark,Northland,sea,2026-04-24 06:00:08,2026-04-24 17:01:20,cleared,SUP-0208,True,late,11.02
SHP-000061,Eastoria,Centralia,road,2025-11-26 23:00:20,2025-11-30 00:41:08,cleared,SUP-0043,True,on_time,73.68
SHP-000062,Rivermark,Eastoria,sea,2026-04-09 05:18:30,2026-04-09 12:17:18,cleared,SUP-0195,True,failed,6.98
SHP-000063,Lowvale,Northland,road,2026-02-15 17:35:13,2026-02-15 20:28:01,cleared,SUP-0180,True,on_time,2.88
SHP-000064,Northland,Eastoria,road,2026-03-02 15:30:57,2026-03-03 14:21:21,cleared,SUP-0123,True,on_time,22.84
SHP-000065,Westhaven,Eastoria,air,2025-12-12 18:14:38,2025-12-13 01:08:02,cleared,SUP-0059,True,on_time,6.89
SHP-000066,Centralia,Eastoria,road,2026-05-16 14:43:11,2026-05-16 16:18:35,delayed,SUP-0193,True,on_time,1.59
SHP-000067,Southport,Eastoria,air,2026-01-31 00:36:36,2026-01-31 20:42:36,pending,SUP-0308,True,late,20.1
SHP-000068,Northland,Westhaven,air,2025-12-03 19:44:50,2025-12-04 06:35:50,cleared,SUP-0007,True,late,10.85
SHP-000069,Southport,Rivermark,sea,2026-03-05 17:12:27,2026-03-06 02:32:15,cleared,SUP-0091,True,failed,9.33
SHP-000070,Centralia,Rivermark,sea,2026-01-14 10:49:18,2026-01-15 08:58:18,cleared,SUP-0304,True,late,22.15
SHP-000071,Southport,Rivermark,sea,2026-04-28 13:49:04,2026-04-29 01:11:16,cleared,SUP-0195,True,on_time,11.37
SHP-000072,Highmere,Rivermark,sea,2026-03-20 14:11:08,2026-03-20 20:03:56,cleared,SUP-0306,True,on_time,5.88
SHP-000073,Northland,Eastoria,road,2026-03-18 15:01:22,2026-03-18 20:24:46,cleared,SUP-0124,True,on_time,5.39
SHP-000074,Rivermark,Eastoria,sea,2026-05-09 11:00:58,2026-05-09 12:24:58,cleared,SUP-0157,True,on_time,1.4
SHP-000075,Highmere,Eastoria,sea,2026-05-04 20:21:25,2026-05-05 14:31:01,cleared,SUP-0157,True,on_time,18.16
SHP-000076,Westhaven,Rivermark,road,2026-01-27 17:51:11,2026-01-28 11:56:35,cleared,SUP-0248,True,on_time,18.09
SHP-000077,Centralia,Eastoria,sea,2026-03-10 15:10:04,2026-03-14 07:08:52,cleared,SUP-0008,True,on_time,87.98
SHP-000078,Northland,Lowvale,rail,2025-12-25 20:38:30,2025-12-28 23:15:06,cleared,SUP-0252,True,on_time,74.61
SHP-000079,Centralia,Southport,rail,2026-04-04 08:03:16,2026-04-04 19:11:04,cleared,SUP-0245,True,on_time,11.13
SHP-000080,Rivermark,Northland,air,2025-12-02 00:39:44,2025-12-02 16:08:32,pending,SUP-0156,True,on_time,15.48
SHP-000081,Lowvale,Southport,road,2025-11-27 10:04:08,2025-11-28 05:15:32,cleared,SUP-0227,True,on_time,19.19
SHP-000082,Lowvale,Centralia,rail,2026-03-26 22:13:20,2026-03-27 13:30:08,cleared,SUP-0107,True,on_time,15.28
SHP-000083,Southport,Northland,air,2026-01-01 18:35:41,2026-01-01 23:35:41,cleared,SUP-0305,True,on_time,5.0
SHP-000084,Centralia,Westhaven,air,2026-04-17 15:16:17,2026-04-18 08:26:29,cleared,SUP-0136,True,on_time,17.17
SHP-000085,Westhaven,Lowvale,air,2026-01-13 17:09:27,2026-01-14 06:40:39,cleared,SUP-0073,True,on_time,13.52
SHP-000086,Centralia,Eastoria,sea,2025-12-04 00:22:10,2025-12-04 20:19:46,cleared,SUP-0156,True,late,19.96
SHP-000087,Rivermark,Westhaven,road,2026-05-03 14:34:53,2026-05-04 05:19:53,cleared,SUP-0014,True,failed,14.75
SHP-000088,Northland,Westhaven,road,2026-01-02 17:23:45,2026-01-06 01:41:45,pending,SUP-0090,True,on_time,80.3
SHP-000089,Centralia,Lowvale,road,2026-05-05 18:37:06,2026-05-06 09:04:42,delayed,SUP-0241,True,on_time,14.46
SHP-000090,Southport,Lowvale,sea,2025-12-08 03:12:45,2025-12-09 11:11:33,cleared,SUP-0206,True,on_time,31.98
SHP-000091,Rivermark,Northland,rail,2026-01-31 08:01:42,2026-01-31 14:50:18,cleared,SUP-0264,True,on_time,6.81
SHP-000092,Rivermark,Eastoria,road,2026-01-11 11:57:46,2026-01-11 17:16:22,cleared,SUP-0227,True,on_time,5.31
SHP-000093,Eastoria,Lowvale,sea,2026-02-14 13:33:25,2026-02-16 00:07:37,cleared,SUP-0323,True,on_time,34.57
SHP-000094,Eastoria,Centralia,air,2026-03-21 23:00:58,2026-03-22 00:19:34,rejected,SUP-0059,True,on_time,1.31
SHP-000095,Eastoria,Highmere,road,2026-04-29 11:44:53,2026-04-30 05:13:41,cleared,SUP-0248,False,on_time,17.48
SHP-000096,Eastoria,Highmere,road,2026-01-28 08:45:11,2026-01-29 06:57:11,cleared,SUP-0036,True,late,22.2
SHP-000097,Lowvale,Eastoria,road,2025-12-20 02:32:05,2025-12-20 21:39:17,cleared,SUP-0153,True,on_time,19.12
SHP-000098,Rivermark,Westhaven,sea,2026-01-29 09:40:49,2026-01-30 20:27:01,cleared,SUP-0279,True,late,34.77
SHP-000099,Westhaven,Centralia,sea,2026-01-26 12:11:36,2026-01-28 23:44:00,pending,SUP-0023,True,on_time,59.54
SHP-000100,Lowvale,Rivermark,road,2025-12-29 04:53:07,2025-12-29 21:08:43,cleared,SUP-0019,True,failed,16.26
SHP-000101,Highmere,Westhaven,air,2026-03-28 15:45:16,2026-03-30 12:44:40,delayed,SUP-0008,True,on_time,44.99
SHP-000102,Eastoria,Westhaven,sea,2026-01-09 08:43:07,2026-01-10 03:41:55,cleared,SUP-0333,True,on_time,18.98
SHP-000103,Lowvale,Rivermark,sea,2026-04-03 19:13:53,2026-04-07 01:21:05,cleared,SUP-0317,True,on_time,78.12
SHP-000104,Centralia,Westhaven,rail,2026-03-31 06:04:29,2026-04-03 17:56:41,pending,SUP-0052,True,on_time,83.87
SHP-000105,Northland,Westhaven,sea,2026-03-24 08:34:32,2026-03-25 03:53:08,cleared,SUP-0126,True,on_time,19.31
SHP-000106,Eastoria,Rivermark,sea,2025-12-02 09:16:18,2025-12-02 12:05:30,cleared,SUP-0255,False,on_time,2.82
SHP-000107,Rivermark,Highmere,air,2026-03-16 19:16:05,2026-03-17 06:50:17,pending,SUP-0148,True,on_time,11.57
SHP-000108,Rivermark,Eastoria,road,2026-03-21 19:43:30,2026-03-25 19:08:06,cleared,SUP-0129,True,on_time,95.41
SHP-000109,Lowvale,Westhaven,road,2025-12-21 18:04:33,2025-12-22 20:43:33,cleared,SUP-0152,True,late,26.65
SHP-000110,Lowvale,Highmere,road,2026-03-02 05:47:03,2026-03-02 19:48:15,rejected,SUP-0311,True,late,14.02
SHP-000111,Centralia,Rivermark,sea,2026-04-09 02:29:20,2026-04-09 08:46:44,cleared,SUP-0318,True,on_time,6.29
SHP-000112,Eastoria,Lowvale,air,2026-01-05 01:24:48,2026-01-05 23:11:36,pending,SUP-0018,True,on_time,21.78
SHP-000113,Southport,Centralia,air,2025-12-20 06:01:21,2025-12-21 13:55:57,cleared,SUP-0277,True,on_time,31.91
SHP-000114,Centralia,Rivermark,rail,2026-02-16 06:48:02,2026-02-17 13:02:26,delayed,SUP-0152,True,on_time,30.24
SHP-000115,Southport,Rivermark,rail,2026-01-31 04:54:08,2026-01-31 07:37:56,pending,SUP-0346,False,failed,2.73
SHP-000116,Highmere,Eastoria,road,2026-01-09 22:33:35,2026-01-10 08:38:23,cleared,SUP-0345,True,on_time,10.08
SHP-000117,Lowvale,Northland,road,2026-05-17 05:08:50,2026-05-19 03:43:02,cleared,SUP-0318,True,on_time,46.57
SHP-000118,Westhaven,Centralia,rail,2026-03-22 19:07:37,2026-03-23 10:44:13,cleared,SUP-0210,True,on_time,15.61
SHP-000119,Northland,Southport,sea,2026-04-01 03:34:44,2026-04-01 15:54:32,cleared,SUP-0199,True,on_time,12.33
SHP-000120,Lowvale,Westhaven,road,2026-03-06 16:05:09,2026-03-07 09:47:45,pending,SUP-0316,True,failed,17.71
SHP-000121,Northland,Centralia,rail,2025-12-31 03:59:34,2025-12-31 09:59:34,pending,SUP-0051,False,on_time,6.0
SHP-000122,Highmere,Northland,rail,2026-03-31 11:02:44,2026-03-31 18:23:44,pending,SUP-0047,True,on_time,7.35
SHP-000123,Northland,Eastoria,road,2026-01-20 11:46:44,2026-01-20 20:26:56,cleared,SUP-0284,True,on_time,8.67
SHP-000124,Westhaven,Highmere,air,2026-05-01 04:29:11,2026-05-01 08:52:35,pending,SUP-0075,False,on_time,4.39
SHP-000125,Eastoria,Southport,air,2026-04-16 17:06:45,2026-04-17 14:02:33,pending,SUP-0122,True,on_time,20.93
SHP-000126,Centralia,Highmere,air,2026-04-18 04:56:01,2026-04-18 22:59:37,cleared,SUP-0230,True,on_time,18.06
SHP-000127,Southport,Highmere,air,2025-11-29 09:12:06,2025-11-29 15:18:06,pending,SUP-0338,True,on_time,6.1
SHP-000128,Northland,Centralia,sea,2026-01-01 23:57:11,2026-01-02 11:58:23,cleared,SUP-0228,True,on_time,12.02
SHP-000129,Eastoria,Lowvale,road,2026-04-27 02:23:22,2026-04-27 09:43:10,cleared,SUP-0196,False,on_time,7.33
SHP-000130,Rivermark,Lowvale,road,2025-11-24 18:06:35,2025-11-25 04:59:59,pending,SUP-0334,True,on_time,10.89
SHP-000131,Westhaven,Centralia,sea,2026-04-23 20:17:50,2026-04-24 17:43:38,cleared,SUP-0213,True,on_time,21.43
SHP-000132,Highmere,Southport,road,2026-01-18 18:37:46,2026-01-19 04:14:22,cleared,SUP-0047,True,on_time,9.61
SHP-000133,Southport,Eastoria,road,2026-02-04 10:04:31,2026-02-04 19:38:43,cleared,SUP-0288,True,on_time,9.57
SHP-000134,Lowvale,Rivermark,sea,2026-01-09 12:16:29,2026-01-10 04:34:29,delayed,SUP-0027,False,on_time,16.3
SHP-000135,Highmere,Southport,road,2025-12-01 08:58:23,2025-12-01 21:38:35,cleared,SUP-0056,True,on_time,12.67
SHP-000136,Southport,Rivermark,sea,2025-12-29 11:45:47,2025-12-30 01:57:47,cleared,SUP-0319,True,on_time,14.2
SHP-000137,Northland,Lowvale,sea,2026-05-14 20:02:04,2026-05-15 12:09:52,cleared,SUP-0159,False,on_time,16.13
SHP-000138,Eastoria,Centralia,air,2026-03-08 15:45:45,2026-03-10 05:24:09,cleared,SUP-0016,True,on_time,37.64
SHP-000139,Lowvale,Eastoria,sea,2026-05-07 16:40:51,2026-05-08 01:31:15,cleared,SUP-0291,True,late,8.84
SHP-000140,Eastoria,Lowvale,air,2026-04-06 22:14:05,2026-04-07 13:26:41,cleared,SUP-0218,True,on_time,15.21
SHP-000141,Centralia,Eastoria,sea,2026-01-18 15:01:01,2026-01-19 03:47:49,cleared,SUP-0348,True,on_time,12.78
SHP-000142,Centralia,Highmere,air,2025-12-29 19:25:24,2025-12-30 05:30:48,cleared,SUP-0109,True,on_time,10.09
SHP-000143,Centralia,Lowvale,sea,2026-03-25 19:04:39,2026-03-25 20:15:27,cleared,SUP-0273,True,on_time,1.18
SHP-000144,Highmere,Northland,sea,2026-02-23 11:05:53,2026-02-24 07:55:05,cleared,SUP-0040,True,on_time,20.82
SHP-000145,Lowvale,Northland,sea,2026-02-03 08:17:24,2026-02-03 18:54:00,delayed,SUP-0088,True,on_time,10.61
SHP-000146,Highmere,Southport,sea,2026-05-09 07:26:03,2026-05-10 03:51:15,cleared,SUP-0041,True,on_time,20.42
SHP-000147,Highmere,Northland,road,2026-05-15 02:36:45,2026-05-15 21:31:57,cleared,SUP-0262,True,on_time,18.92
SHP-000148,Highmere,Rivermark,air,2026-03-23 08:25:07,2026-03-24 04:15:31,cleared,SUP-0132,True,on_time,19.84
SHP-000149,Southport,Centralia,sea,2026-02-15 14:54:59,2026-02-16 09:41:47,cleared,SUP-0297,True,late,18.78
SHP-000150,Highmere,Southport,sea,2025-12-16 06:20:30,2025-12-17 21:25:54,cleared,SUP-0324,True,on_time,39.09
SHP-000151,Northland,Centralia,sea,2026-01-08 22:56:34,2026-01-09 01:39:10,cleared,SUP-0147,True,late,2.71
SHP-000152,Southport,Centralia,road,2025-12-15 15:14:11,2025-12-16 03:53:47,delayed,SUP-0022,True,late,12.66
SHP-000153,Westhaven,Southport,rail,2026-01-05 09:52:45,2026-01-05 21:49:09,cleared,SUP-0176,False,on_time,11.94
SHP-000154,Eastoria,Centralia,road,2026-04-12 04:24:44,2026-04-12 21:41:32,cleared,SUP-0187,True,on_time,17.28
SHP-000155,Lowvale,Northland,road,2026-03-07 12:40:37,2026-03-08 05:17:13,cleared,SUP-0034,True,on_time,16.61
SHP-000156,Lowvale,Highmere,rail,2026-03-03 04:19:41,2026-03-03 21:58:41,cleared,SUP-0077,True,on_time,17.65
SHP-000157,Eastoria,Lowvale,road,2026-01-08 12:58:35,2026-01-09 20:29:11,cleared,SUP-0305,True,on_time,31.51
SHP-000158,Lowvale,Southport,road,2026-04-12 13:50:55,2026-04-12 22:23:55,pending,SUP-0270,True,on_time,8.55
SHP-000159,Highmere,Southport,sea,2026-03-12 00:52:48,2026-03-12 08:58:48,pending,SUP-0099,True,on_time,8.1
SHP-000160,Southport,Highmere,road,2026-02-09 17:09:29,2026-02-10 12:17:17,pending,SUP-0270,True,on_time,19.13
SHP-000161,Eastoria,Southport,road,2026-05-11 20:40:11,2026-05-12 01:13:11,pending,SUP-0085,True,on_time,4.55
SHP-000162,Highmere,Westhaven,road,2026-03-11 19:58:20,2026-03-12 02:25:56,cleared,SUP-0230,True,on_time,6.46
SHP-000163,Rivermark,Highmere,rail,2026-02-04 01:51:11,2026-02-05 06:35:35,rejected,SUP-0237,True,on_time,28.74
SHP-000164,Lowvale,Rivermark,road,2026-01-27 19:32:15,2026-01-31 10:46:03,pending,SUP-0027,True,late,87.23
SHP-000165,Southport,Northland,sea,2025-12-31 02:37:14,2025-12-31 15:29:26,pending,SUP-0140,True,on_time,12.87
SHP-000166,Lowvale,Rivermark,sea,2025-12-15 09:11:04,2025-12-16 07:07:28,cleared,SUP-0014,True,on_time,21.94
SHP-000167,Highmere,Eastoria,sea,2026-02-25 11:04:35,2026-02-26 10:56:47,cleared,SUP-0051,True,on_time,23.87
SHP-000168,Eastoria,Rivermark,sea,2026-02-22 08:27:44,2026-02-22 16:03:44,pending,SUP-0241,True,on_time,7.6
SHP-000169,Southport,Eastoria,road,2025-12-06 04:10:49,2025-12-06 10:08:25,cleared,SUP-0271,True,on_time,5.96
SHP-000170,Westhaven,Centralia,road,2026-04-14 06:42:43,2026-04-14 08:48:43,cleared,SUP-0033,True,late,2.1
SHP-000171,Northland,Lowvale,air,2025-11-27 16:05:24,2025-11-28 06:19:12,cleared,SUP-0315,True,on_time,14.23
SHP-000172,Eastoria,Westhaven,air,2026-05-04 17:32:32,2026-05-04 20:30:44,cleared,SUP-0260,True,on_time,2.97
SHP-000173,Northland,Lowvale,sea,2025-12-09 19:30:50,2025-12-10 07:19:26,cleared,SUP-0009,True,on_time,11.81
SHP-000174,Westhaven,Rivermark,road,2025-12-18 04:48:14,2025-12-18 20:15:14,cleared,SUP-0069,True,on_time,15.45
SHP-000175,Eastoria,Lowvale,sea,2026-03-20 08:37:20,2026-03-22 01:04:56,cleared,SUP-0070,True,on_time,40.46
SHP-000176,Rivermark,Lowvale,sea,2025-12-19 14:04:55,2025-12-19 19:43:19,cleared,SUP-0159,True,failed,5.64
SHP-000177,Rivermark,Southport,sea,2026-04-21 07:52:09,2026-04-22 02:11:57,pending,SUP-0025,True,on_time,18.33
SHP-000178,Southport,Centralia,road,2026-03-30 15:47:03,2026-03-31 02:50:03,delayed,SUP-0198,True,on_time,11.05
SHP-000179,Rivermark,Eastoria,road,2026-02-08 11:55:11,2026-02-09 07:15:35,cleared,SUP-0041,True,failed,19.34
SHP-000180,Eastoria,Northland,sea,2026-03-14 07:58:46,2026-03-14 16:22:10,cleared,SUP-0229,True,on_time,8.39
SHP-000181,Rivermark,Lowvale,rail,2025-11-30 20:34:21,2025-11-30 22:32:33,cleared,SUP-0223,True,failed,1.97
SHP-000182,Northland,Westhaven,road,2026-02-01 05:39:27,2026-02-01 21:19:03,cleared,SUP-0082,False,on_time,15.66
SHP-000183,Rivermark,Lowvale,road,2026-01-31 14:59:12,2026-01-31 17:32:12,cleared,SUP-0291,True,on_time,2.55
SHP-000184,Rivermark,Lowvale,air,2026-03-14 05:33:11,2026-03-16 23:28:23,cleared,SUP-0188,True,on_time,65.92
SHP-000185,Westhaven,Southport,sea,2026-02-17 09:46:57,2026-02-19 11:07:21,cleared,SUP-0288,True,on_time,49.34
SHP-000186,Rivermark,Highmere,rail,2026-03-01 06:21:48,2026-03-01 21:26:00,cleared,SUP-0063,True,on_time,15.07
SHP-000187,Eastoria,Northland,road,2026-01-06 08:11:11,2026-01-07 18:55:35,delayed,SUP-0164,True,on_time,34.74
SHP-000188,Centralia,Lowvale,road,2026-03-05 22:43:53,2026-03-07 19:10:53,cleared,SUP-0090,True,on_time,44.45
SHP-000189,Southport,Eastoria,road,2026-05-04 16:02:09,2026-05-08 06:04:33,cleared,SUP-0284,True,on_time,86.04
SHP-000190,Eastoria,Westhaven,sea,2025-11-20 18:01:02,2025-11-20 20:59:50,cleared,SUP-0246,True,on_time,2.98
SHP-000191,Southport,Northland,sea,2026-03-30 14:51:44,2026-03-30 23:09:08,cleared,SUP-0177,True,late,8.29
SHP-000192,Eastoria,Highmere,rail,2026-04-07 11:19:08,2026-04-07 15:17:20,cleared,SUP-0064,True,on_time,3.97
SHP-000193,Eastoria,Westhaven,rail,2025-12-10 18:21:42,2025-12-11 11:40:18,cleared,SUP-0146,True,on_time,17.31
SHP-000194,Centralia,Highmere,air,2026-03-30 21:30:45,2026-03-31 05:28:21,cleared,SUP-0304,False,on_time,7.96
SHP-000195,Highmere,Rivermark,rail,2026-05-09 07:55:29,2026-05-10 21:29:41,cleared,SUP-0329,True,on_time,37.57
SHP-000196,Westhaven,Lowvale,air,2026-03-02 18:58:30,2026-03-03 05:33:18,pending,SUP-0280,True,failed,10.58
SHP-000197,Rivermark,Westhaven,sea,2026-04-13 07:51:22,2026-04-14 03:25:34,cleared,SUP-0031,True,on_time,19.57
SHP-000198,Rivermark,Eastoria,rail,2026-01-09 08:00:26,2026-01-09 22:57:26,cleared,SUP-0177,False,on_time,14.95
SHP-000199,Highmere,Southport,sea,2026-04-16 18:26:29,2026-04-16 21:52:53,cleared,SUP-0127,True,on_time,3.44
SHP-000200,Lowvale,Rivermark,rail,2026-03-22 23:36:37,2026-03-24 09:42:01,pending,SUP-0296,True,on_time,34.09
SHP-000201,Eastoria,Centralia,rail,2026-01-23 13:50:40,2026-01-24 02:41:04,cleared,SUP-0047,False,on_time,12.84
SHP-000202,Westhaven,Northland,sea,2025-12-10 04:22:57,2025-12-10 13:30:09,cleared,SUP-0335,True,on_time,9.12
SHP-000203,Northland,Westhaven,road,2026-01-14 12:19:18,2026-01-15 22:43:18,pending,SUP-0188,True,on_time,34.4
SHP-000204,Westhaven,Centralia,road,2026-02-10 22:39:53,2026-02-11 06:18:17,pending,SUP-0144,True,on_time,7.64
SHP-000205,Southport,Westhaven,road,2025-12-19 05:34:49,2025-12-19 08:48:01,cleared,SUP-0188,True,on_time,3.22
SHP-000206,Lowvale,Southport,road,2026-02-14 15:01:03,2026-02-14 17:03:27,pending,SUP-0266,True,on_time,2.04
SHP-000207,Eastoria,Southport,sea,2025-11-19 03:38:10,2025-11-19 18:44:10,cleared,SUP-0154,True,on_time,15.1
